split,rep,model_name,metric,value
validation,35,signal_interactions,log_loss,0.6396017900721956
validation,35,signal_interactions,brier_score,0.2239301180662686
validation,35,signal_interactions,accuracy,0.6416190864600326
validation,36,baseline,log_loss,0.6445657766327865
validation,36,baseline,brier_score,0.22654214837415393
validation,36,baseline,accuracy,0.6252556237218814
validation,36,full_formatting,log_loss,0.6366659877115264
validation,36,full_formatting,brier_score,0.2223178829018766
validation,36,full_formatting,accuracy,0.6356850715746422
validation,36,signal_interactions,log_loss,0.6349561289559973
validation,36,signal_interactions,brier_score,0.22213667296780093
validation,36,signal_interactions,accuracy,0.6418200408997955
validation,37,baseline,log_loss,0.6408025670606574
validation,37,baseline,brier_score,0.22463913751543543
validation,37,baseline,accuracy,0.6343692870201096
validation,37,full_formatting,log_loss,0.632166025614178
validation,37,full_formatting,brier_score,0.22061078291655928
validation,37,full_formatting,accuracy,0.644221003453179
validation,37,signal_interactions,log_loss,0.6330548720014167
validation,37,signal_interactions,brier_score,0.22101319833949737
validation,37,signal_interactions,accuracy,0.6476741824091001
validation,38,baseline,log_loss,0.6403659010182606
validation,38,baseline,brier_score,0.2246814568924394
validation,38,baseline,accuracy,0.6328443357783211
validation,38,full_formatting,log_loss,0.6322479508829567
validation,38,full_formatting,brier_score,0.22045561876862768
validation,38,full_formatting,accuracy,0.6443561532192339
validation,38,signal_interactions,log_loss,0.6315918729067584
validation,38,signal_interactions,brier_score,0.2202573413957041
validation,38,signal_interactions,accuracy,0.6506723716381418
validation,39,baseline,log_loss,0.6404209526127589
validation,39,baseline,brier_score,0.22435381485872313
validation,39,baseline,accuracy,0.6375585897697167
validation,39,full_formatting,log_loss,0.6319790411549806
validation,39,full_formatting,brier_score,0.22051851265591355
validation,39,full_formatting,accuracy,0.6446912573874057
validation,39,signal_interactions,log_loss,0.6339622109455424
validation,39,signal_interactions,brier_score,0.2211946182692778
validation,39,signal_interactions,accuracy,0.6506011819849195
validation,40,baseline,log_loss,0.6422955956435246
